query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
SRR11125891,family,0.002775908479138627,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae,028a6fec,-,0.0012058476838240277,660000,0.8909856082227754,73807
SRR11125891,family,0.002607671601615074,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae,028a6fec,-,0.0010432614792634846,620000,0.8898940276675501,73807
SRR11125891,family,0.002565612382234186,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-917,028a6fec,-,0.001232945384584118,610000,0.889610344650468,73807
SRR11125891,family,0.0025235531628532977,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,028a6fec,-,0.0010568103296435297,600000,0.889322065133853,73807
SRR11125891,family,0.002145020188425303,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__QAMX01,028a6fec,-,0.0009348706762231224,510000,0.8864926214316614,73807
SRR11125891,family,0.001598250336473755,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-382,028a6fec,-,0.0013548850380045254,380000,0.8813928151934151,73807
SRR11125891,family,0.001598250336473755,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae,028a6fec,-,0.0007722844716625795,380000,0.8813928151934151,73807
SRR11125891,family,0.0012617765814266488,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,028a6fec,-,0.0006638936686222173,300000,0.8773169474732266,73807
SRR11125891,family,0.0012617765814266488,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__UMGS1384,028a6fec,-,0.0005148563144417197,300000,0.8773169474732266,73807
SRR11125891,family,0.0012617765814266486,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__UMGS124,028a6fec,-,0.0005013074640616744,300000,0.8773169474732266,73807
